Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,-0.121,-0.171,0.841,-0.779,-0.254,0.172,-0.374,-0.375,-0.49,0.852,0.621,-1.135,0.214,-0.508,-0.452,-0.261,0.57,0.16,0.386,0.624,0.502,-0.302,0.178,0.144,0.305,-0.09,0.44,0.958,-0.203,0.796,-0.133,-0.297,0.223,0.459,0.401,-0.064,0.409,0.585,1.192,1.039,1.355,1.361,0.632,1.37,0.477,1.754,0.745,0.798,0.982,1.695,1.463,0.283,1.325,0.536,1.166,1.581,1.626,1.682,1.125,0.652
Albania,0.639,0.345,0.078,-0.166,-0.388,0.553,-0.082,0.073,-0.024,-0.127,-0.223,-0.097,-0.304,-0.138,-0.209,-0.688,0.543,-0.795,0.25,-0.376,-0.312,0.236,-0.059,-0.21,-0.041,0.63,-0.048,0.431,-0.004,0.82,-0.245,0.116,0.124,1.374,-0.127,0.014,0.117,0.838,0.718,1.12,1.573,0.533,1.016,0.453,0.216,0.493,1.487,1.152,1.016,1.145,1.133,1.577,1.431,1.357,1.703,1.624,1.286,2.189,1.858,1.671
Algeria,0.11,0.042,0.005,0.169,-0.176,0.373,-0.02,-0.062,0.325,0.13,-0.362,-0.324,0.004,-0.473,-0.526,-0.762,0.593,0.096,0.72,0.286,0.255,0.439,0.643,0.07,0.582,0.394,1.04,1.378,0.425,1.312,0.079,-0.273,0.633,0.719,0.619,0.866,1.085,1.142,1.527,0.865,1.897,1.291,1.635,1.034,1.305,1.429,1.245,1.215,0.978,2.291,1.427,1.184,1.211,1.715,1.151,1.776,1.537,1.246,1.127,1.943
American Samoa,0.042,-0.08,0.128,-0.178,-0.526,0.218,-0.342,-0.172,0.147,-0.033,-0.464,-0.073,0.332,-0.299,-0.11,-0.168,0.157,0.093,0.339,0.33,0.155,0.258,0.287,0.244,0.223,0.36,0.311,0.486,0.151,0.507,0.801,0.655,0.204,0.343,0.813,0.743,0.0,0.0,0.219,0.685,0.962,1.211,0.702,0.28,0.959,0.561,1.034,0.643,0.0,1.163,0.711,0.732,1.016,0.887,0.726,1.256,1.151,0.905,1.255,1.161
Andorra,0.744,0.117,-0.746,0.315,-0.499,0.406,0.62,-0.013,-0.171,0.093,-0.343,-0.513,0.005,-0.403,0.221,-0.071,-0.122,-0.184,0.034,-0.214,0.145,1.009,0.808,-0.207,0.006,0.336,0.361,0.854,1.133,1.695,0.176,0.332,0.161,1.492,1.239,0.523,1.725,0.942,0.964,0.952,1.409,0.766,1.909,0.887,0.807,1.438,0.954,0.858,1.325,0.373,1.586,1.179,0.748,1.868,1.564,1.845,1.784,1.76,1.8,2.378
Angola,0.049,-0.143,-0.181,-0.207,-0.201,0.182,-0.067,-0.191,0.182,0.245,-0.073,-0.095,0.471,-0.161,-0.029,-0.328,0.274,0.043,0.301,0.289,-0.063,0.167,0.473,0.667,0.694,0.154,0.731,0.634,0.079,0.787,0.448,0.606,0.34,0.295,0.827,0.455,0.3,1.206,0.499,0.248,0.326,0.759,0.948,0.397,1.084,0.455,0.753,0.409,0.64,1.16,0.828,0.528,0.97,0.776,1.319,1.733,0.952,1.26,1.752,1.057
Anguilla,0.039,0.005,0.203,0.127,-0.344,0.062,-0.22,-0.309,0.299,0.05,-0.32,-0.148,0.189,-0.362,-0.35,-0.449,0.163,0.102,0.002,0.684,0.519,0.097,0.486,0.051,-0.065,-0.041,0.505,0.369,-0.128,0.264,0.256,0.199,0.369,0.429,0.476,0.229,0.39,0.975,0.456,0.114,0.471,0.573,0.689,0.374,0.656,0.441,0.699,0.166,0.421,0.931,0.327,0.492,0.587,0.611,0.87,0.963,0.702,0.532,0.766,1.154
Antarctica,0.28,-0.227,0.136,-0.366,-0.098,-0.24,0.133,-0.088,-0.256,-0.133,0.28,0.621,0.011,0.169,0.177,-0.634,0.25,-0.118,-0.234,0.565,0.706,-0.031,-0.693,0.131,0.18,-0.269,-0.699,0.955,-0.437,0.289,0.677,0.334,-0.728,-0.206,-0.27,0.799,-0.543,-0.47,-0.581,-0.765,-0.049,1.272,-0.463,0.141,0.888,-0.067,0.694,0.617,1.354,0.825,0.738,-0.202,1.75,0.559,-0.085,0.229,0.773,1.451,0.638,0.779
Antigua and Barbuda,-0.005,0.015,0.252,0.101,-0.409,0.167,-0.152,-0.276,0.263,0.063,-0.294,-0.19,0.221,-0.349,-0.4,-0.472,0.157,0.135,0.128,0.663,0.567,0.19,0.474,-0.023,-0.089,-0.077,0.583,0.322,-0.177,0.241,0.318,0.276,0.364,0.373,0.522,0.274,0.431,0.992,0.439,0.186,0.0,0.499,0.65,0.331,0.651,0.382,0.637,0.085,0.322,0.961,0.382,0.484,0.556,0.487,0.811,0.889,0.665,0.506,0.763,1.098
Argentina,0.149,-0.049,0.169,-0.343,0.088,-0.167,0.001,0.479,0.285,0.43,-0.273,-0.03,-0.184,-0.144,-0.066,-0.384,0.363,0.302,0.206,0.313,0.323,0.312,-0.005,-0.16,0.245,0.405,0.391,-0.249,0.565,0.393,0.224,-0.289,0.043,0.457,0.21,0.476,0.732,0.32,0.138,-0.22,0.392,0.259,0.593,0.384,0.171,0.508,-0.248,0.522,0.735,0.042,0.29,0.713,0.37,0.901,0.892,0.417,1.01,0.783,0.664,1.04
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.283,-0.917,0.507,0.73,0.514,0.668,1.368,1.583,1.124,1.461,1.262,0.155,1.17,0.544,1.659,0.703,0.818,0.62,2.611,0.591,1.212,1.367,1.244,1.897,1.317,0.884,2.75,1.806,1.898
Aruba,-0.08,0.143,0.074,0.247,-0.218,0.09,-0.282,0.037,0.465,0.35,-0.346,-0.01,0.166,-0.424,-0.222,-0.48,0.0,0.0,0.0,0.438,0.462,0.382,0.689,0.074,-0.17,-0.113,0.661,0.249,-0.197,0.155,0.214,0.0,0.0,0.292,0.573,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.824,0.425,0.607,0.308,0.756,0.0,0.0,1.096,0.32,0.414,0.951,0.865,1.051,0.0,1.22,0.637,0.97,1.267
Australia,0.151,0.111,-0.122,-0.042,0.114,-0.253,-0.104,-0.208,0.099,-0.01,-0.044,0.092,0.835,-0.349,0.059,-0.501,0.195,0.086,0.386,0.899,0.505,0.207,0.646,-0.157,0.336,0.365,0.346,0.945,0.137,0.529,0.805,0.247,0.449,0.187,0.377,0.559,0.349,1.048,0.56,0.121,0.304,0.687,0.778,0.666,1.137,0.653,0.865,0.557,0.96,0.619,0.148,0.24,1.436,1.141,1.038,1.126,1.111,1.104,1.405,1.404
Austria,1.031,-0.621,-0.725,-0.371,-0.881,0.605,0.676,0.21,-0.124,-0.55,-0.061,0.108,-0.03,0.317,0.863,0.219,0.499,-0.471,-0.106,-0.268,0.283,0.392,1.069,-0.242,-0.562,0.326,-0.254,0.829,1.114,1.276,0.141,1.263,0.543,1.978,0.958,-0.183,0.533,1.363,1.001,1.788,1.523,1.556,1.487,0.857,0.657,0.94,2.166,1.611,1.572,0.684,1.398,1.81,1.122,2.43,2.184,2.115,1.765,2.563,2.408,2.357
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.834,-1.015,0.1,1.014,0.246,0.586,1.188,1.239,1.11,1.393,1.421,-0.162,1.284,0.844,1.486,0.938,0.89,0.755,2.292,0.733,1.425,1.514,1.176,1.597,1.385,1.236,2.181,1.967,1.968
Bahamas,-0.016,-0.167,-0.192,0.091,-0.014,-0.213,-0.187,-0.31,-0.13,-0.485,0.036,0.472,0.336,0.091,0.479,-0.227,0.132,0.202,0.278,0.436,-0.035,0.527,0.246,0.121,0.33,0.321,0.495,0.422,0.712,0.82,0.838,0.342,0.433,0.857,0.767,0.115,0.877,1.029,0.724,0.313,0.248,0.969,1.117,0.449,0.514,0.448,0.998,0.932,0.519,0.408,0.487,0.496,0.721,1.053,1.397,1.349,1.506,1.144,1.581,1.706
Bahrain,-0.465,0.393,0.625,-0.572,0.223,0.521,-0.389,-0.475,0.537,0.23,-0.26,-0.579,-0.239,-0.235,-0.219,-0.506,0.328,0.095,0.853,0.347,0.404,-0.097,-0.854,0.016,0.352,0.649,0.524,0.601,0.008,0.383,-0.244,-0.549,0.119,0.988,0.238,0.68,0.359,1.417,2.06,1.15,1.24,1.584,1.267,1.389,1.066,1.839,1.052,1.295,1.182,2.141,1.355,1.299,1.418,1.814,2.355,1.63,2.091,2.25,2.125,2.119
Bangladesh,0.155,-0.258,-0.082,0.099,-0.2,0.318,-0.221,-0.242,-0.019,-0.038,-0.586,-0.032,0.146,-0.152,-0.088,-0.11,-0.265,-0.23,0.488,0.152,-0.157,-0.027,-0.093,-0.239,0.154,0.135,0.433,0.429,0.2,-0.042,0.049,-0.047,-0.325,0.316,0.29,0.242,-0.015,0.598,0.877,0.337,0.461,0.52,0.373,0.418,0.766,1.007,0.472,0.26,1.037,1.005,0.292,0.485,0.377,0.563,0.796,1.395,1.242,1.039,1.264,1.053
Barbados,0.26,0.13,0.233,0.019,-0.252,-0.125,-0.229,-0.343,0.327,0.088,-0.161,-0.005,0.013,-0.334,-0.559,-0.426,-0.04,0.254,0.043,0.506,0.275,0.127,0.241,-0.104,-0.298,-0.202,0.497,0.342,0.149,0.292,0.346,0.254,0.314,0.303,0.355,0.198,0.175,0.967,0.351,0.192,0.395,0.372,0.76,0.614,1.056,0.765,0.605,0.252,0.374,1.101,0.648,0.48,0.76,0.405,0.86,1.153,0.792,0.509,0.974,0.816
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272,0.025,1.141,1.501,-0.275,0.36,0.707,1.506,1.942,1.979,1.89,0.084,0.934,1.28,0.65,2.364,2.255,1.602,1.456,1.008,1.546,1.193,2.165,2.244,2.194,1.588,2.339,2.697,3.518
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.487,1.341,1.402,1.532,1.094,1.202,1.401,1.883,1.257,1.16,0.231,1.285,1.131,0.465,2.409,1.367,1.867,1.707,2.177,2.054,2.549
Belize,-0.004,-0.107,-0.052,-0.115,-0.173,-0.264,-0.351,-0.237,0.238,-0.223,-0.178,0.526,0.449,0.136,0.05,-0.316,0.241,0.134,0.662,0.635,-0.069,0.575,0.721,0.203,0.488,0.18,0.42,0.523,0.282,0.447,0.614,0.303,0.326,0.632,0.657,0.113,0.781,0.826,0.34,0.064,0.339,0.643,0.881,0.64,0.793,0.595,0.797,0.523,0.863,0.777,0.655,0.574,0.714,0.715,1.235,1.367,1.273,0.742,1.443,1.653
Benin,-0.117,-0.221,0.158,-0.21,-0.079,-0.03,-0.246,-0.096,0.359,0.366,-0.133,0.127,0.664,0.026,-0.343,-0.249,0.305,-0.084,0.479,0.428,0.175,0.218,0.564,0.559,0.428,0.329,1.015,0.67,-0.013,0.624,0.34,0.015,0.567,0.471,0.454,0.772,0.588,1.067,0.641,0.472,0.55,0.74,0.994,0.764,1.147,1.08,0.88,0.68,0.996,1.284,0.993,0.64,0.91,0.975,1.192,1.139,1.26,1.129,1.232,1.141
Bhutan,0.227,-0.265,-0.204,0.061,-0.574,0.186,-0.364,-0.474,0.1,-0.042,-0.252,-0.067,0.259,0.116,0.06,-0.077,-0.087,-0.258,0.348,0.045,0.166,-0.139,-0.291,-0.052,0.204,0.008,0.298,0.608,0.307,-0.004,0.216,-0.216,-0.256,0.257,0.431,0.204,-0.358,0.758,0.954,0.126,0.655,0.458,0.502,0.478,0.759,0.993,0.987,0.588,1.424,1.196,0.52,0.381,0.691,0.758,0.986,1.455,1.443,1.389,1.282,1.104
Bolivia (Plurinational State of),0.225,0.023,0.382,-0.118,0.258,-0.05,0.385,-0.13,0.497,0.236,-0.53,0.14,0.233,-0.092,-0.041,-0.15,0.368,0.426,0.237,0.327,0.246,0.378,0.516,0.375,0.451,0.557,0.817,0.459,0.274,0.32,0.742,0.195,0.519,1.02,0.856,0.427,1.018,1.014,0.461,0.504,0.822,1.125,0.901,1.091,1.052,1.18,0.787,0.663,0.991,0.986,1.46,1.152,0.919,1.321,1.772,1.015,1.251,0.816,1.248,1.667
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,0.274,1.709,0.304,-0.022,0.129,1.078,0.627,1.537,1.549,1.163,1.11,0.607,0.152,0.633,1.917,1.427,1.436,1.011,1.169,1.809,1.371,1.902,1.89,1.749,1.498,2.356,2.119,1.996
Botswana,0.124,0.218,-0.466,-0.068,0.08,0.428,-0.451,-0.179,0.214,0.603,-0.121,-0.466,0.608,-0.738,-0.232,-0.714,0.292,-0.056,0.544,-0.013,-0.414,0.368,1.04,0.502,0.359,0.314,1.273,0.291,-0.234,0.84,0.167,0.951,0.704,-0.011,1.286,-0.175,0.077,1.036,0.736,-0.562,-0.055,0.532,1.105,0.277,1.496,-0.239,0.402,0.337,-0.118,1.164,0.218,0.816,0.923,0.328,2.024,1.821,0.328,1.004,1.833,0.82
Brazil,0.17,-0.191,0.169,-0.241,-0.098,0.037,0.071,-0.412,0.326,0.093,-0.165,0.088,0.427,-0.176,-0.15,-0.193,0.241,0.018,-0.009,0.299,0.184,0.28,0.469,0.295,0.11,0.298,0.701,0.457,0.143,0.44,0.47,0.381,0.522,0.612,0.781,0.506,0.694,1.282,0.602,0.552,0.759,1.059,0.975,0.804,1.117,0.817,0.98,0.72,0.941,1.107,0.812,1.052,0.963,1.169,1.6,1.49,1.348,1.17,1.532,1.449
British Virgin Islands,0.083,-0.005,0.153,0.152,-0.278,-0.043,-0.29,-0.343,0.335,0.037,-0.346,-0.107,0.157,-0.375,-0.3,-0.425,0.17,0.069,-0.125,0.706,0.472,0.005,0.498,0.126,-0.04,-0.004,0.426,0.416,-0.078,0.287,0.194,0.123,0.375,0.485,0.43,0.185,0.349,0.957,0.473,0.043,0.48,0.647,0.727,0.417,0.66,0.499,0.762,0.245,0.521,0.901,0.271,0.5,0.618,0.736,0.929,1.037,0.738,0.559,0.768,1.211
Brunei Darussalam,0.153,-0.051,-0.16,-0.036,-0.319,0.152,-0.184,-0.202,0.2,-0.002,-0.225,0.038,0.425,-0.221,0.031,-0.029,0.053,0.15,0.197,0.234,0.017,0.144,0.454,-0.111,0.06,0.011,0.424,0.415,0.011,0.41,0.221,0.199,0.043,0.229,0.334,0.221,0.571,1.163,0.419,0.3,0.432,0.552,0.725,0.562,0.822,0.472,0.491,0.317,0.704,0.797,0.429,0.686,0.885,0.869,1.043,1.519,1.067,1.076,1.283,1.263
Bulgaria,0.892,0.473,-0.258,-0.54,-0.463,1.143,0.019,0.411,-0.493,0.196,-0.154,0.119,-0.442,-0.211,0.376,-0.856,0.552,-0.725,0.154,-0.452,-0.043,-0.126,0.39,-0.017,-0.601,0.362,-0.483,0.133,0.415,0.805,-0.144,0.17,-0.29,1.621,0.26,-0.329,-0.306,0.807,0.717,1.202,1.646,0.848,0.173,0.522,0.213,0.581,1.895,1.189,1.302,1.378,0.436,1.692,1.491,1.236,1.495,1.955,1.013,2.251,2.208,2.176
Burkina Faso,-0.301,-0.227,0.159,-0.207,-0.123,-0.145,-0.164,-0.177,0.572,0.378,-0.016,0.15,0.689,-0.063,-0.32,-0.331,0.254,0.205,0.433,0.801,0.277,0.183,0.702,0.781,0.513,0.382,1.075,0.647,0.062,0.665,0.578,0.035,0.795,0.385,0.478,0.989,0.696,1.069,0.629,0.624,0.578,1.075,1.054,0.929,1.517,1.234,0.949,0.362,0.989,1.321,1.058,0.545,0.903,0.931,1.178,1.136,1.283,1.225,1.153,1.123
Burundi,0.089,-0.434,0.033,-0.115,-0.198,0.072,-0.189,-0.205,0.217,0.325,-0.4,0.012,0.425,0.015,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.749,0.665,0.0,0.0,0.522,0.587,0.454,0.189,0.612,0.205,0.338,0.0,0.0,0.0,0.0,0.0,0.881,0.0,0.525,0.436,0.878,0.947,1.061,0.0,0.0,0.97,0.454,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,-0.092,0.267,0.528,0.046,-0.277,0.316,-0.016,-0.315,0.936,0.736,-0.239,0.015,0.305,-0.554,0.0,-0.318,-0.01,0.441,0.658,0.652,0.357,0.596,0.595,0.0,0.189,0.059,1.093,0.901,1.036,1.399,0.766,0.975,0.594,0.527,1.561,1.684,1.74,1.866,0.881,1.125,1.415,1.445,0.956,0.985,0.498,0.682,0.148,0.629,0.463,1.948,1.053,0.513,0.943,0.696,0.683,1.334,1.626,0.539,1.134,1.408
Cambodia,-0.034,-0.134,-0.323,0.151,-0.2,0.437,-0.077,-0.129,0.463,0.062,-0.481,0.018,0.353,-0.345,-0.031,-0.473,0.095,0.281,0.443,0.357,0.352,0.138,0.507,0.098,0.248,0.022,0.592,0.305,0.227,0.565,0.485,0.433,0.298,0.347,0.58,0.239,0.297,1.268,0.362,0.231,0.611,0.669,0.657,0.582,0.72,0.722,0.6,0.422,0.4,1.172,0.375,0.873,1.014,0.56,1.037,1.349,0.998,0.724,1.544,1.436
Cameroon,-0.094,-0.197,0.172,-0.158,-0.093,0.005,-0.094,-0.117,0.201,0.161,-0.142,0.037,0.552,-0.078,-0.202,-0.176,0.313,0.059,0.444,0.388,0.116,0.083,0.21,0.25,0.096,0.171,0.571,0.344,-0.207,0.678,0.638,-0.198,0.36,0.451,0.526,0.525,0.672,1.265,0.787,0.49,0.284,0.851,0.983,0.912,1.144,1.125,0.768,0.725,1.203,1.278,0.719,0.549,0.785,0.858,1.139,1.206,1.172,1.054,1.527,1.045
Canada,0.055,-0.121,0.332,-0.303,-0.871,-0.154,-0.452,0.481,0.001,0.426,-0.026,-1.799,0.306,-0.844,0.226,0.083,1.082,-0.602,-0.213,0.919,1.565,-0.67,0.491,0.338,-0.306,0.021,1.348,1.213,0.031,0.087,0.346,0.107,0.347,0.468,0.934,-0.124,0.427,2.47,1.699,1.292,1.424,0.554,1.257,0.508,1.298,2.348,1.332,0.856,0.54,2.915,1.449,2.155,1.187,0.297,1.225,2.412,1.503,0.523,1.342,1.158
Cayman Islands,0.0,-0.16,-0.204,0.0,0.0,-0.276,-0.31,-0.398,0.134,-0.131,-0.107,0.368,0.445,0.0,0.922,-0.066,0.366,0.283,0.27,0.513,-0.078,0.502,0.359,0.278,0.163,0.311,0.629,0.719,0.799,0.917,0.843,0.585,0.848,1.328,1.044,0.46,1.015,0.943,0.472,0.0,0.0,0.0,0.0,0.0,0.668,0.605,0.756,0.564,0.466,0.669,0.355,0.422,0.579,0.786,1.027,0.964,0.937,0.545,0.917,1.109
Central African Republic,-0.012,-0.311,0.024,-0.16,-0.062,0.081,-0.253,-0.192,0.106,0.241,-0.072,0.056,0.543,-0.062,-0.053,-0.111,0.256,0.088,0.425,0.491,0.106,0.353,0.557,0.194,0.245,0.573,0.571,0.363,-0.102,0.394,0.624,-0.322,0.457,0.686,0.28,0.267,0.264,1.253,0.575,0.807,0.518,0.896,0.964,1.255,1.315,1.186,0.595,0.779,1.296,1.296,0.868,0.635,0.889,0.704,1.011,1.241,1.225,1.206,1.28,1.214
Chad,-0.44,-0.306,0.256,-0.231,-0.149,-0.013,-0.38,-0.161,0.59,0.214,-0.223,0.225,0.744,0.025,-0.125,0.288,0.008,-0.06,0.575,0.46,0.22,0.469,0.109,0.678,0.339,0.779,0.485,0.281,-0.156,0.449,0.654,-0.265,0.323,0.421,0.283,0.684,0.251,0.866,0.596,0.377,0.294,0.781,0.835,0.855,1.214,1.415,0.63,0.474,1.294,1.285,1.03,0.629,1.063,0.879,1.328,0.921,1.025,1.515,1.375,1.037
Channel Islands,0.684,-0.634,-1.186,-0.28,-0.639,0.375,0.246,-0.012,0.2,0.08,0.032,-0.374,0.133,-0.073,0.642,0.652,-0.126,0.044,-0.563,-0.179,0.2,0.55,0.484,0.274,-0.493,-0.666,-0.241,0.444,1.497,1.494,0.07,0.46,0.103,1.086,1.533,0.11,0.904,0.817,1.346,0.892,1.111,1.039,1.388,1.014,1.19,1.144,1.308,0.842,0.743,0.165,1.129,0.811,0.591,1.792,1.146,1.509,1.525,1.551,1.693,2.128
Chile,-0.219,0.284,0.088,-0.154,0.149,-0.127,-0.122,0.364,0.177,0.192,-0.346,-0.13,-0.089,-0.208,-0.184,-0.342,0.27,0.285,0.216,0.299,0.31,0.333,0.52,-0.165,0.272,0.025,0.543,0.014,0.272,0.162,0.047,-0.137,0.133,0.164,-0.109,0.153,0.657,0.621,0.19,-0.277,-0.019,0.046,0.246,0.43,0.08,0.462,-0.354,0.359,0.371,-0.117,0.074,0.571,0.346,0.408,0.734,0.831,0.671,0.333,0.459,0.73
China,0.266,-0.134,0.292,-0.02,0.081,0.181,-0.283,-0.41,-0.215,-0.307,0.034,0.009,0.408,-0.01,0.278,-0.398,-0.059,0.236,0.295,0.248,0.214,0.375,0.125,-0.147,-0.122,-0.038,0.436,0.404,0.433,0.857,0.527,0.129,0.281,0.731,0.576,0.211,0.738,1.272,1.235,0.578,1.045,1.14,0.831,1.123,1.064,1.245,1.55,1.104,1.352,0.982,0.808,0.645,1.103,1.107,1.341,1.378,1.636,1.422,1.473,1.703
Christmas Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457,-0.117,-0.193,-0.319,-0.029,-0.172,0.137,0.203,0.0,0.0,0.0,0.137,0.0,0.0,0.322,0.315,0.104,0.416,0.136,0.185,0.169,0.0,0.0,0.427,0.0,0.989,0.276,0.184,0.494,0.583,0.692,0.467,0.992,0.205,0.578,0.14,0.326,0.0,0.0,0.0,0.851,0.771,0.826,1.457,0.927,0.543,0.932,1.465
Cocos (Keeling) Islands,-0.01,0.076,-0.065,0.114,-0.115,-0.13,0.104,-0.577,0.0,0.0,-0.31,-0.231,0.107,-0.332,-0.412,-0.227,0.05,-0.377,0.0,0.032,-0.251,-0.321,0.606,0.121,0.06,-0.338,0.378,0.355,0.177,0.29,0.405,0.148,0.149,-0.05,0.37,0.595,0.282,1.196,1.151,0.288,0.116,0.665,0.48,0.347,0.622,0.315,0.538,0.509,0.517,0.884,0.605,0.788,0.862,0.846,1.087,1.361,0.757,0.853,0.974,1.47
Colombia,0.176,-0.046,0.025,0.13,-0.064,0.166,-0.228,-0.167,0.393,0.069,-0.449,-0.111,0.291,-0.389,-0.383,-0.298,0.163,0.055,0.125,0.382,0.096,0.164,0.62,-0.281,-0.121,-0.08,0.493,0.268,-0.149,0.258,0.347,0.532,0.157,0.162,0.431,0.057,0.431,0.848,-0.105,-0.144,0.344,0.567,0.621,0.519,0.605,0.471,0.567,0.249,0.723,0.885,0.31,0.494,0.652,0.624,1.093,0.941,0.625,0.972,1.228,1.391
